RIVER,MILE,SPECIES,LENGTH,WEIGHT,DDT
TRM,290,SMBUFFALO,47,1709,12
TRM,290,SMBUFFALO,46,1425,21
TRM,290,SMBUFFALO,41,1176,8
TRM,295,CCATFISH,36,980,12
TRM,295,CCATFISH,47.5,1176,6
TRM,295,CCATFISH,41.5,989,4.7
TRM,295,CCATFISH,49.5,1084,31
TRM,295,CCATFISH,46,1115,5.2
TRM,295,CCATFISH,46.5,724,27
TRM,300,CCATFISH,36,847,18
TRM,300,CCATFISH,37,876,7.5
TRM,300,CCATFISH,35,844,3
TRM,300,CCATFISH,36,908,13
TRM,300,CCATFISH,48,1358,7.3
TRM,300,CCATFISH,49,1019,15
TRM,300,SMBUFFALO,35.5,1300,1.3
TRM,300,SMBUFFALO,46,1365,4.8
TRM,300,SMBUFFALO,45,1437,5.1
TRM,300,SMBUFFALO,44.5,1460,5.1
TRM,300,SMBUFFALO,49,1671,4
TRM,300,SMBUFFALO,47.5,1717,10
TRM,305,CCATFISH,35,613,12
TRM,305,CCATFISH,51,353,22
TRM,305,CCATFISH,42.5,909,10
TRM,305,CCATFISH,38,886,11
TRM,305,CCATFISH,41,890,17
TRM,305,CCATFISH,47,1031,9.7
TRM,310,CCATFISH,45,1083,12
TRM,310,CCATFISH,45.5,864,4.7
TRM,310,CCATFISH,45,886,6
TRM,310,CCATFISH,45,965,3.8
TRM,310,CCATFISH,39,537,17
TRM,310,CCATFISH,40.5,630,12
TRM,310,SMBUFFALO,46,1486,1.4
TRM,310,SMBUFFALO,47,1743,6.1
TRM,310,SMBUFFALO,48.5,2061,2.8
TRM,310,SMBUFFALO,48,1707,4.8
TRM,310,SMBUFFALO,38,862,5.7
TRM,310,SMBUFFALO,38.5,911,3.3
TRM,315,CCATFISH,29.5,476,3.3
TRM,315,CCATFISH,42,743,3.7
TRM,315,CCATFISH,47.5,1128,9.9
TRM,315,CCATFISH,43.5,848,6.8
TRM,315,CCATFISH,47.5,1091,13
TRM,315,CCATFISH,43.5,715,8.8
TRM,320,CCATFISH,47.5,983,57
TRM,320,CCATFISH,51.5,1251,96
TRM,320,CCATFISH,49.5,1255,360
TRM,320,CCATFISH,47,1152,130
TRM,320,CCATFISH,47.5,1085,13
TRM,320,CCATFISH,47,1118,61
TRM,320,SMBUFFALO,36,1285,12
TRM,320,SMBUFFALO,34.5,1178,33
TRM,320,SMBUFFALO,44.5,1492,48
TRM,320,SMBUFFALO,46,1524,10
TRM,320,SMBUFFALO,46,1473,44
TRM,320,SMBUFFALO,32.5,520,0.43
TRM,325,CCATFISH,46,863,1100
TRM,325,CCATFISH,40,549,9.4
TRM,325,CCATFISH,43.5,810,4.1
TRM,325,CCATFISH,46.5,908,2.8
TRM,325,CCATFISH,43,804,0.74
TRM,325,CCATFISH,47.5,1179,14
TRM,330,CCATFISH,32,556,22
TRM,330,CCATFISH,40.5,659,9.1
TRM,330,CCATFISH,51.5,1229,140
TRM,330,CCATFISH,48,1050,4.2
TRM,330,CCATFISH,47,952,12
TRM,330,CCATFISH,41,826,2
TRM,330,SMBUFFALO,33.5,599,0.3
TRM,330,SMBUFFALO,47,1704,1.2
TRM,340,CCATFISH,50,1207,7.1
TRM,340,CCATFISH,45,911,180
TRM,340,CCATFISH,49,1498,1.5
TRM,340,CCATFISH,49.5,1496,2.4
TRM,340,CCATFISH,50,1142,4.3
TRM,340,CCATFISH,45,879,3.9
TRM,340,SMBUFFALO,32.5,525,0.99
TRM,340,SMBUFFALO,38,806,0.45
TRM,340,SMBUFFALO,38.5,694,2.5
TRM,340,SMBUFFALO,36,643,0.25
TRM,345,LMBASS,26.5,514,0.58
TRM,345,LMBASS,23.5,358,2
TRM,345,LMBASS,30,856,2.2
TRM,345,LMBASS,29,793,7.4
TRM,345,LMBASS,17.5,173,0.35
TRM,345,LMBASS,36,1433,1.9
